ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,67,41639.36518329988,0.012285139019431549,1,797,9955,1438,10596
1,60,34755.415024124915,0.010337856924046993,0,32,0,0,-32
2,56,34958.54425710141,0.09977469224254812,0,49,0,0,-49
3,75,22143.04385352387,0.10825622467384717,1,605,5951,1583,6929
4,27,28451.24996461553,0.022295004578287758,1,94,7427,1336,8669
5,26,33662.18080800926,0.4678785542307673,0,62,0,0,-62
6,48,48317.97020264223,0.08860577819014567,1,343,5855,2271,7783
7,30,20048.061891795576,0.00505504614367174,1,413,18089,1689,19365
8,30,29320.681576699917,0.1788056802406148,0,40,0,0,-40
9,40,50682.769580055756,0.014266799864551325,1,512,6133,1553,7174
10,67,22497.56166867977,0.016644902677096993,1,240,6413,1357,7530
11,43,39244.81050698585,0.055523741402057236,1,241,5674,2403,7836
12,34,27260.974788036016,0.0906866486844666,1,430,8808,1413,9791
13,48,22109.216320698,0.044832891211369276,1,200,5826,1709,7335
14,65,40416.07027373924,0.23474311065949552,0,9,0,0,-9
15,19,44387.931416968815,0.06968328818781593,0,2,0,0,-2
16,53,27609.798399160583,0.0191231125658213,1,27,6980,1520,8473
17,19,22513.835029314636,0.0393900083582066,0,16,0,0,-16
18,19,21844.61889510095,0.034425618240127055,1,293,5625,1644,6976
19,18,23167.563964504585,0.11242240585633102,0,25,0,0,-25
20,67,52559.28569366258,0.07147691406867648,1,892,20183,7172,26463
21,28,39924.17213904549,0.12532629184464242,1,349,14446,1443,15540
22,32,23176.24787081002,0.0851753809579517,1,463,13905,1608,15050
23,22,20172.58851088199,0.18761350628467957,1,331,5844,1557,7070
24,62,39600.162120494104,0.10047907813521871,0,83,0,0,-83
25,39,21411.04574787475,0.1500952672563935,0,14,0,0,-14
26,19,58651.991184320395,0.22247058506106077,1,73,6306,2820,9053
27,47,42761.42581132138,0.03681717193525564,1,296,5426,2729,7859
28,47,62895.119648573425,0.1641671514566845,1,152,13496,1439,14783
29,37,31896.25027195976,0.16874531788689515,1,809,7444,2384,9019
30,18,22131.756657733833,0.016037888383733104,1,328,24988,2720,27380
31,18,28960.3998874905,0.27058124446844256,1,761,12382,1373,12994
32,23,25319.530154789245,0.1455731559667978,0,45,0,0,-45
33,30,23447.431001541558,0.12560139894926398,0,14,0,0,-14
34,45,20396.62242291717,0.038889925165621744,1,353,22002,1525,23174
35,47,25830.996348701872,0.06327942064642517,1,493,5514,1430,6451
