ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,11,0,-11
1,0,0,36,0,-36
2,1,1,310,1216,906
3,1,1,1178,1453,275
4,1,1,402,2001,1599
5,1,1,753,1544,791
6,0,0,12,0,-12
7,1,0,176,0,-176
8,1,1,204,1395,1191
9,1,0,92,0,-92
10,1,0,122,0,-122
11,1,0,17,0,-17
12,1,0,134,0,-134
13,1,0,166,0,-166
14,1,1,755,1349,594
15,1,1,759,1467,708
16,0,0,6,0,-6
17,1,0,2,0,-2
18,1,1,606,1524,918
19,0,0,28,0,-28
20,1,1,139,1704,1565
21,0,0,4,0,-4
22,0,0,18,0,-18
23,0,0,6,0,-6
24,1,1,198,1287,1089
25,1,1,205,1262,1057
26,1,0,50,0,-50
27,1,0,62,0,-62
28,0,0,2,0,-2
29,0,0,16,0,-16
30,1,1,853,1240,387
31,1,1,1039,1472,433
32,0,0,48,0,-48
33,1,1,362,1610,1248
34,0,0,69,0,-69
35,0,0,14,0,-14
36,0,0,47,0,-47
37,1,1,619,1527,908
38,0,0,1,0,-1
39,0,0,21,0,-21
40,1,0,24,0,-24
41,0,0,31,0,-31
42,0,0,74,0,-74
43,0,0,18,0,-18
44,0,0,58,0,-58
45,1,1,680,1209,529
46,0,0,24,0,-24
47,1,1,985,1521,536
48,1,0,195,0,-195
49,1,1,103,1623,1520
50,1,1,78,1343,1265
51,1,0,21,0,-21
52,1,1,36,1682,1646
53,0,0,33,0,-33
54,1,1,248,1317,1069
55,1,0,98,0,-98
56,0,0,22,0,-22
57,0,0,23,0,-23
58,0,0,30,0,-30
59,0,0,20,0,-20
60,1,1,802,1663,861
61,1,1,2276,1455,-821
62,1,0,87,0,-87
63,1,1,16,1508,1492
64,0,0,47,0,-47
65,1,0,82,0,-82
66,0,0,66,0,-66
67,1,0,15,0,-15
68,1,1,728,1752,1024
69,1,0,80,0,-80
70,1,1,63,3152,3089
71,0,0,125,0,-125
72,0,0,30,0,-30
73,0,0,20,0,-20
74,0,0,68,0,-68
75,1,0,12,0,-12
76,1,0,184,0,-184
77,0,0,16,0,-16
78,1,1,331,1268,937
79,1,1,828,1466,638
80,0,0,37,0,-37
81,1,1,171,1569,1398
82,1,0,31,0,-31
83,0,0,68,0,-68
