ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,1,1038,1891,853
1,0,0,25,0,-25
2,1,0,112,0,-112
3,1,1,240,1569,1329
4,0,0,116,0,-116
5,1,1,1435,2034,599
6,0,0,8,0,-8
7,0,0,111,0,-111
8,0,0,43,0,-43
9,0,0,4,0,-4
10,0,0,5,0,-5
11,1,0,3,0,-3
12,0,0,34,0,-34
13,1,0,53,0,-53
14,1,1,455,1241,786
15,1,0,72,0,-72
16,1,1,877,1269,392
17,1,0,33,0,-33
18,0,0,70,0,-70
19,1,1,740,1443,703
20,0,0,65,0,-65
21,1,0,5,0,-5
22,1,1,1097,1728,631
23,1,0,3,0,-3
24,1,0,21,0,-21
25,1,0,8,0,-8
26,1,0,81,0,-81
27,1,0,250,0,-250
28,1,0,25,0,-25
29,0,0,68,0,-68
30,0,0,228,0,-228
31,0,0,15,0,-15
32,0,0,37,0,-37
33,1,1,2144,1917,-227
34,0,0,75,0,-75
35,1,1,69,1258,1189
36,1,1,142,1307,1165
37,1,1,765,1373,608
38,1,1,397,1274,877
39,1,1,141,1206,1065
40,0,0,0,0,0
41,0,0,110,0,-110
42,1,0,85,0,-85
43,1,0,51,0,-51
44,1,0,16,0,-16
45,1,1,58,2428,2370
46,1,0,77,0,-77
47,1,1,245,2245,2000
48,1,0,21,0,-21
49,0,0,27,0,-27
50,1,0,78,0,-78
51,0,0,29,0,-29
52,0,0,145,0,-145
53,1,0,39,0,-39
54,0,0,17,0,-17
55,1,0,92,0,-92
56,0,0,61,0,-61
57,1,0,44,0,-44
58,1,0,41,0,-41
59,1,1,403,1724,1321
60,1,1,1624,1401,-223
61,1,1,309,1436,1127
62,1,0,38,0,-38
63,0,0,102,0,-102
64,1,1,210,1299,1089
65,0,0,78,0,-78
66,1,1,973,1328,355
67,1,0,32,0,-32
68,0,0,12,0,-12
69,1,0,111,0,-111
70,0,0,40,0,-40
71,1,1,135,1845,1710
72,1,0,36,0,-36
73,1,0,15,0,-15
74,1,1,377,1474,1097
75,0,0,155,0,-155
76,0,0,51,0,-51
77,1,1,293,1946,1653
78,0,0,17,0,-17
79,0,0,110,0,-110
80,0,0,41,0,-41
81,1,1,604,1357,753
82,1,0,116,0,-116
83,1,1,75,1985,1910
84,0,0,69,0,-69
85,0,0,30,0,-30
86,0,0,5,0,-5
87,0,0,2,0,-2
88,1,1,76,2795,2719
89,1,1,140,2091,1951
90,0,0,278,0,-278
91,0,0,17,0,-17
92,1,1,1570,1236,-334
93,1,0,16,0,-16
94,0,0,7,0,-7
95,1,0,23,0,-23
96,1,1,325,1289,964
97,1,1,165,1269,1104
98,1,0,144,0,-144
99,1,0,19,0,-19
100,1,0,37,0,-37
101,0,0,50,0,-50
102,1,0,4,0,-4
103,0,0,56,0,-56
104,1,1,431,1986,1555
105,0,0,6,0,-6
106,0,0,0,0,0
107,0,0,26,0,-26
108,0,0,59,0,-59
109,1,1,317,1428,1111
110,0,0,116,0,-116
111,0,0,195,0,-195
112,0,0,25,0,-25
113,1,0,0,0,0
114,0,0,29,0,-29
115,0,0,17,0,-17
116,1,1,286,1803,1517
117,1,0,45,0,-45
118,0,0,10,0,-10
119,1,0,158,0,-158
120,1,1,1260,2329,1069
121,1,1,1186,1863,677
122,0,0,28,0,-28
123,1,1,144,1433,1289
124,0,0,2,0,-2
125,1,0,197,0,-197
126,0,0,175,0,-175
127,1,0,73,0,-73
128,1,1,97,3034,2937
129,1,1,48,1330,1282
130,1,0,90,0,-90
131,1,0,16,0,-16
132,1,1,205,1318,1113
133,1,0,52,0,-52
134,1,1,560,1221,661
135,1,1,75,1334,1259
136,1,1,678,1264,586
137,0,0,44,0,-44
138,1,0,25,0,-25
139,0,0,116,0,-116
140,1,0,102,0,-102
141,1,1,466,1329,863
142,1,0,121,0,-121
143,1,1,66,1268,1202
144,1,0,99,0,-99
145,0,0,34,0,-34
146,1,0,75,0,-75
147,0,0,152,0,-152
148,0,0,36,0,-36
149,0,0,16,0,-16
150,0,0,116,0,-116
151,0,0,175,0,-175
152,1,0,155,0,-155
153,1,1,235,1385,1150
154,1,0,44,0,-44
155,0,0,83,0,-83
156,0,0,39,0,-39
157,1,0,55,0,-55
158,1,0,37,0,-37
159,0,0,41,0,-41
160,1,0,49,0,-49
161,1,1,119,1294,1175
162,0,0,20,0,-20
163,0,0,16,0,-16
164,0,0,2,0,-2
165,1,1,1895,1589,-306
166,1,1,893,1295,402
167,1,0,58,0,-58
168,1,1,624,1217,593
169,1,0,0,0,0
170,1,1,308,1596,1288
171,1,0,4,0,-4
172,0,0,8,0,-8
173,1,0,2,0,-2
174,0,0,57,0,-57
175,1,0,62,0,-62
176,1,1,611,2159,1548
177,1,1,1609,1273,-336
178,1,1,47,2138,2091
179,1,0,5,0,-5
180,1,1,147,1661,1514
181,0,0,21,0,-21
182,1,0,54,0,-54
183,0,0,117,0,-117
184,0,0,6,0,-6
